cd,var,edu,percent
2411,college_degep,"College, CEGEP or other non-university certificate or diploma",13.9
2411,uni_below_bach,University certificate or diploma below bachelor level,3.3
2411,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",9.3
2412,no_cert,"No certificate, diploma or degree",21.8
2412,high_school,Secondary (high) school diploma or equivalency certificate,19.3
2412,app_trade,Apprenticeship or trades certificate or diploma,24
2412,college_degep,"College, CEGEP or other non-university certificate or diploma",18.3
2412,uni_below_bach,University certificate or diploma below bachelor level,3.5
2412,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",13.2
2413,no_cert,"No certificate, diploma or degree",31.9
2413,high_school,Secondary (high) school diploma or equivalency certificate,18.3
2413,app_trade,Apprenticeship or trades certificate or diploma,26
2413,college_degep,"College, CEGEP or other non-university certificate or diploma",12.8
2413,uni_below_bach,University certificate or diploma below bachelor level,2.9
2413,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",8
2414,no_cert,"No certificate, diploma or degree",26
2414,high_school,Secondary (high) school diploma or equivalency certificate,18.5
2414,app_trade,Apprenticeship or trades certificate or diploma,21.7
2414,college_degep,"College, CEGEP or other non-university certificate or diploma",18.9
2414,uni_below_bach,University certificate or diploma below bachelor level,3.2
2414,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",11.8
2415,no_cert,"No certificate, diploma or degree",26.7
2415,high_school,Secondary (high) school diploma or equivalency certificate,24.4
2415,app_trade,Apprenticeship or trades certificate or diploma,23.1
2415,college_degep,"College, CEGEP or other non-university certificate or diploma",14.1
2415,uni_below_bach,University certificate or diploma below bachelor level,3
2415,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",8.9
2416,no_cert,"No certificate, diploma or degree",24.2
2416,high_school,Secondary (high) school diploma or equivalency certificate,20.3
2416,app_trade,Apprenticeship or trades certificate or diploma,23.8
2416,college_degep,"College, CEGEP or other non-university certificate or diploma",16.1
2416,uni_below_bach,University certificate or diploma below bachelor level,4.3
2416,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",11.3
2417,no_cert,"No certificate, diploma or degree",30.9
2417,high_school,Secondary (high) school diploma or equivalency certificate,20.4
2417,app_trade,Apprenticeship or trades certificate or diploma,23.8
2417,college_degep,"College, CEGEP or other non-university certificate or diploma",14.8
2417,uni_below_bach,University certificate or diploma below bachelor level,2.3
2417,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",7.8
2418,no_cert,"No certificate, diploma or degree",29.7
2418,high_school,Secondary (high) school diploma or equivalency certificate,21.2
2418,app_trade,Apprenticeship or trades certificate or diploma,22.1
2418,college_degep,"College, CEGEP or other non-university certificate or diploma",15.1
2418,uni_below_bach,University certificate or diploma below bachelor level,2.3
2418,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",9.5
2419,no_cert,"No certificate, diploma or degree",24.2
2419,high_school,Secondary (high) school diploma or equivalency certificate,20.4
2419,app_trade,Apprenticeship or trades certificate or diploma,25.6
2419,college_degep,"College, CEGEP or other non-university certificate or diploma",17.1
2419,uni_below_bach,University certificate or diploma below bachelor level,2.8
2419,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",10
2420,no_cert,"No certificate, diploma or degree",15.3
2420,high_school,Secondary (high) school diploma or equivalency certificate,19.8
2420,app_trade,Apprenticeship or trades certificate or diploma,17.9
2420,college_degep,"College, CEGEP or other non-university certificate or diploma",19.4
2420,uni_below_bach,University certificate or diploma below bachelor level,5.2
2420,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",22.3
2421,no_cert,"No certificate, diploma or degree",16.4
2421,high_school,Secondary (high) school diploma or equivalency certificate,20.8
2421,app_trade,Apprenticeship or trades certificate or diploma,22.1
2421,college_degep,"College, CEGEP or other non-university certificate or diploma",20.1
2421,uni_below_bach,University certificate or diploma below bachelor level,3.3
2421,uni_bac_up,"University certificate, diploma or degree at bachelor level or above",17.3
2422,no_cert,"No certificate, diploma or degree",12.7
